TimeInterval,TradeCount,Volume,Direct Edge X,NASDAQ OMX PSX,NYSE Arca SM,BATS,NYSE MKT,NASDAQ OMX BX,BATS Y,NASDAQ OMX,Direct Edge A
2014-03-13 10:59:00,3,400,200,0,0,100,0,0,0,100,0
2014-03-13 11:00:36,1,3,0,0,0,3,0,0,0,0,0
2014-03-13 11:01:55,7,603,0,0,100,103,0,0,0,400,0
2014-03-13 11:04:00,6,501,100,0,100,1,0,0,0,300,0
2014-03-13 11:05:25,1,11,0,0,0,0,11,0,0,0,0
2014-03-13 11:06:51,14,2014,1000,0,200,514,200,0,0,100,0
2014-03-13 11:07:08,4,374,0,0,100,89,0,0,0,185,0
2014-03-13 11:07:11,4,1020,300,0,0,0,600,0,0,120,0
2014-03-13 11:07:31,1,2200,0,0,0,0,0,0,0,2200,0
2014-03-13 11:08:58,2,102,0,0,0,102,0,0,0,0,0
2014-03-13 11:09:32,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 11:09:33,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 11:09:36,2,200,0,0,0,0,0,0,0,200,0
2014-03-13 11:09:50,1,40,0,0,0,0,0,0,0,0,40
2014-03-13 11:11:03,1,100,0,0,0,100,0,0,0,0,0
2014-03-13 11:12:07,22,2766,1100,0,800,100,226,0,0,480,60
2014-03-13 11:13:37,7,840,0,0,300,0,0,0,0,540,0
