TimeInterval,TradeCount,Volume,NYSE MKT,NYSE Arca SM,NASDAQ OMX BX,BATS,National,NASDAQ,CBOE,Direct Edge X,NASDAQ OMX PSX,BATS Y,Direct Edge A
2014-03-13 09:39:21,14,4100,0,200,100,300,0,3500,0,0,0,0,0
2014-03-13 09:39:25,37,10000,0,900,0,2700,0,5400,0,400,0,0,600
2014-03-13 09:39:31,9,2300,0,0,0,1100,0,900,0,0,0,0,300
2014-03-13 09:39:32,12,2100,0,423,0,800,0,177,0,100,0,0,600
2014-03-13 09:39:48,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:39:51,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:39:58,3,500,0,0,0,0,0,0,0,0,0,300,200
2014-03-13 09:39:59,1,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:40:43,78,17554,800,700,800,4340,800,6664,0,2250,0,200,1000
2014-03-13 09:40:51,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:40:55,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:40:57,16,2700,0,0,0,500,0,1362,0,38,0,0,800
2014-03-13 09:41:01,8,1300,400,0,200,0,0,300,0,0,0,0,400
2014-03-13 09:41:06,1,500,0,0,0,500,0,0,0,0,0,0,0
2014-03-13 09:41:19,33,10375,400,2000,0,2400,0,4413,0,1162,0,0,0
2014-03-13 09:41:28,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:41:32,11,2301,0,100,200,0,0,1601,0,0,0,200,200
2014-03-13 09:41:37,7,1000,0,0,100,0,0,700,0,0,0,100,100
2014-03-13 09:41:38,1,200,0,0,0,0,200,0,0,0,0,0,0
2014-03-13 09:41:39,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:41:49,28,7700,1000,700,0,3600,0,1700,0,200,0,100,400
2014-03-13 09:41:51,3,300,0,0,0,0,0,0,0,0,0,300,0
2014-03-13 09:41:52,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:41:57,1,200,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:41:59,4,500,0,0,100,400,0,0,0,0,0,0,0
2014-03-13 09:42:13,63,11227,400,700,400,3909,0,3218,0,1100,0,1000,500
2014-03-13 09:42:14,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:42:16,39,8900,0,1200,300,4800,0,1300,0,400,0,600,300
2014-03-13 09:42:17,19,3800,0,500,0,1400,0,700,0,700,0,0,500
2014-03-13 09:42:24,19,3600,400,0,800,1000,0,100,0,100,0,1100,100
2014-03-13 09:42:25,2,300,0,0,0,300,0,0,0,0,0,0,0
2014-03-13 09:42:31,36,10050,400,1800,200,2500,0,4650,0,0,0,500,0
2014-03-13 09:42:32,9,1600,0,500,0,900,0,0,0,0,0,0,200
2014-03-13 09:42:38,6,2500,0,200,0,2300,0,0,0,0,0,0,0
2014-03-13 09:42:39,4,1200,0,200,0,1000,0,0,0,0,0,0,0
2014-03-13 09:42:44,1,200,0,200,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:46,5,1200,0,0,0,200,0,1000,0,0,0,0,0
2014-03-13 09:42:52,2,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:54,6,1200,0,200,0,100,0,400,0,500,0,0,0
2014-03-13 09:43:02,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:43:08,60,21737,0,300,0,20337,0,700,0,400,0,0,0
2014-03-13 09:43:09,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:43:17,12,3905,0,400,900,1500,0,1105,0,0,0,0,0
2014-03-13 09:43:25,17,2700,400,0,100,500,300,1200,0,200,0,0,0
2014-03-13 09:43:26,48,8752,1000,1900,200,2752,100,300,0,1800,0,400,300
2014-03-13 09:43:27,24,9000,0,6300,0,300,0,1100,0,1100,0,100,100
2014-03-13 09:43:42,53,14551,0,500,98,4650,300,7900,0,1003,0,100,0
2014-03-13 09:43:43,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:43:52,6,600,0,0,300,0,0,0,0,0,0,300,0
2014-03-13 09:43:59,1,300,0,0,0,0,300,0,0,0,0,0,0
2014-03-13 09:44:05,1,200,0,0,0,0,200,0,0,0,0,0,0
2014-03-13 09:44:08,19,3405,0,102,100,1400,0,1300,0,503,0,0,0
2014-03-13 09:44:11,16,10200,0,0,100,900,0,200,0,8800,0,200,0
2014-03-13 09:44:13,2,300,0,0,0,0,0,300,0,0,0,0,0
2014-03-13 09:44:14,1,36,0,0,0,0,0,36,0,0,0,0,0
2014-03-13 09:44:15,38,6067,0,400,600,3500,400,64,0,3,0,700,400
2014-03-13 09:44:23,24,4319,400,0,100,19,300,2600,0,0,0,700,200
2014-03-13 09:44:37,21,5302,0,202,0,400,0,600,0,4100,0,0,0
2014-03-13 09:44:39,3,600,0,0,0,0,0,0,0,600,0,0,0
2014-03-13 09:44:40,19,4600,0,1503,0,0,0,997,0,2100,0,0,0
2014-03-13 09:44:41,12,4100,200,800,0,0,0,1100,0,2000,0,0,0
2014-03-13 09:44:46,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:44:47,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:44:48,22,5046,0,200,0,300,0,1300,0,3196,0,50,0
2014-03-13 09:44:51,1,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:44:52,3,300,0,0,0,100,0,0,0,200,0,0,0
2014-03-13 09:44:53,20,4504,100,1303,0,1301,0,1700,0,100,0,0,0
2014-03-13 09:45:00,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:45:01,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:45:07,48,7526,500,217,900,2507,0,2300,0,1102,0,0,0
2014-03-13 09:45:22,1,55,0,0,0,0,0,0,0,0,0,55,0
2014-03-13 09:45:26,23,4759,200,604,0,904,500,2206,0,100,0,245,0
2014-03-13 09:45:31,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:45:36,34,7871,0,100,0,2992,0,4277,0,502,0,0,0
2014-03-13 09:45:37,9,2200,400,0,100,0,0,1700,0,0,0,0,0
2014-03-13 09:45:39,2,900,0,0,0,900,0,0,0,0,0,0,0
2014-03-13 09:45:40,2,400,0,0,0,400,0,0,0,0,0,0,0
2014-03-13 09:45:42,28,5406,0,200,0,503,0,500,0,4203,0,0,0
2014-03-13 09:45:43,1,40,0,0,0,0,0,0,0,40,0,0,0
2014-03-13 09:45:47,1,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:45:50,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:45:51,2,800,0,0,0,0,0,0,0,800,0,0,0
2014-03-13 09:45:52,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:45:59,14,3642,0,100,0,242,0,2900,0,0,0,200,200
2014-03-13 09:46:02,3,503,0,0,0,100,0,0,0,403,0,0,0
2014-03-13 09:46:03,2,6,0,2,0,4,0,0,0,0,0,0,0
2014-03-13 09:46:04,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:46:18,2,200,0,0,0,0,100,100,0,0,0,0,0
2014-03-13 09:46:21,2,80,0,78,0,0,0,0,0,2,0,0,0
2014-03-13 09:46:25,83,18708,800,4550,0,4555,0,5504,0,2697,0,102,500
