TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,National,Direct Edge A,BATS,NASDAQ OMX PSX,Direct Edge X,NYSE Arca SM,CBOE,NASDAQ,BATS Y
2014-03-13 09:36:10,2,100,0,0,0,0,0,0,0,0,0,25,75
2014-03-13 09:36:11,1,20,0,0,0,0,0,0,0,0,0,20,0
2014-03-13 09:36:19,7,473,0,0,0,0,0,0,445,3,0,25,0
2014-03-13 09:36:22,3,473,0,0,0,0,0,0,355,0,0,118,0
2014-03-13 09:36:23,8,461,0,0,0,0,0,0,50,100,0,311,0
2014-03-13 09:36:24,17,2238,0,0,0,0,300,0,700,300,0,938,0
2014-03-13 09:36:25,3,300,0,0,0,0,0,0,0,100,0,200,0
2014-03-13 09:36:28,5,750,0,0,0,0,0,0,0,0,0,750,0
2014-03-13 09:36:31,2,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:36:33,1,41,0,0,0,0,0,0,0,41,0,0,0
2014-03-13 09:36:36,1,42,0,0,0,0,0,0,0,42,0,0,0
2014-03-13 09:36:37,5,905,0,0,0,100,0,0,0,0,0,805,0
2014-03-13 09:36:42,3,300,0,0,0,0,0,0,0,0,0,300,0
2014-03-13 09:36:45,1,50,0,0,0,0,0,0,0,50,0,0,0
2014-03-13 09:36:48,1,2,0,0,0,0,0,0,0,0,0,2,0
2014-03-13 09:36:50,3,134,0,0,0,0,0,0,100,30,0,0,4
2014-03-13 09:36:54,2,120,0,0,0,0,0,0,0,20,0,100,0
2014-03-13 09:36:55,2,110,0,0,0,0,0,0,0,100,0,10,0
2014-03-13 09:36:56,2,200,0,0,0,0,0,0,100,0,0,100,0
2014-03-13 09:36:58,19,2700,0,0,0,0,100,0,1400,100,0,1100,0
2014-03-13 09:36:59,32,4457,0,0,0,1500,0,0,1556,100,0,1201,100
2014-03-13 09:37:00,2,200,0,0,0,0,0,0,0,200,0,0,0
2014-03-13 09:37:01,1,40,0,0,0,0,0,0,0,0,0,0,40
2014-03-13 09:37:03,6,400,0,0,0,0,0,0,400,0,0,0,0
2014-03-13 09:37:04,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:37:05,3,255,0,0,0,0,0,0,0,200,0,55,0
2014-03-13 09:37:07,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:37:08,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:37:11,1,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:37:18,48,4847,0,100,0,500,100,0,1400,620,0,1827,300
2014-03-13 09:37:19,2,200,0,0,0,0,0,0,100,100,0,0,0
2014-03-13 09:37:24,4,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:37:29,4,403,0,0,0,0,0,0,0,0,0,403,0
2014-03-13 09:37:31,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:37:37,6,490,0,100,0,50,0,0,0,340,0,0,0
2014-03-13 09:37:40,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:37:42,4,361,0,0,0,0,0,0,0,0,0,361,0
2014-03-13 09:37:46,1,9,0,0,0,0,0,0,0,0,0,9,0
2014-03-13 09:37:51,2,200,0,0,0,0,0,0,0,200,0,0,0
2014-03-13 09:37:52,1,50,0,0,0,0,0,0,0,0,0,50,0
2014-03-13 09:37:56,15,2063,0,0,0,0,0,0,500,321,0,1242,0
2014-03-13 09:37:59,13,1433,0,0,0,0,300,0,281,0,0,852,0
2014-03-13 09:38:00,3,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:38:02,3,300,0,0,0,0,0,0,100,100,0,100,0
2014-03-13 09:38:04,6,518,0,0,0,0,0,0,0,420,0,0,98
2014-03-13 09:38:06,1,2,0,0,0,0,0,0,0,2,0,0,0
2014-03-13 09:38:07,8,800,0,0,0,0,200,0,100,300,0,200,0
2014-03-13 09:38:11,3,500,0,0,0,0,0,0,0,200,0,300,0
2014-03-13 09:38:13,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:38:14,2,240,0,0,0,0,0,0,0,0,0,240,0
2014-03-13 09:38:15,3,300,0,0,0,0,0,0,100,200,0,0,0
2014-03-13 09:38:16,7,558,0,0,0,0,0,0,318,0,0,240,0
2014-03-13 09:38:19,2,100,0,0,0,0,0,0,0,60,0,40,0
2014-03-13 09:38:21,3,220,0,0,0,0,200,0,0,20,0,0,0
2014-03-13 09:38:24,17,1852,0,0,0,0,0,0,282,900,0,670,0
2014-03-13 09:38:25,9,522,0,0,0,0,0,0,12,410,0,100,0
2014-03-13 09:38:26,79,7948,0,0,0,0,0,0,2929,159,0,4860,0
2014-03-13 09:38:28,12,1126,0,0,0,200,200,0,320,100,0,206,100
2014-03-13 09:38:30,2,11,0,0,0,0,0,0,0,0,0,11,0
2014-03-13 09:38:31,2,150,0,0,0,0,100,0,0,50,0,0,0
2014-03-13 09:38:34,28,457,0,0,0,100,300,0,0,10,0,47,0
2014-03-13 09:38:37,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:38:39,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:38:40,5,300,0,0,0,0,0,0,100,0,0,200,0
2014-03-13 09:38:41,3,200,0,0,0,0,100,0,0,0,0,0,100
2014-03-13 09:38:46,27,2071,0,0,0,0,164,0,500,878,0,529,0
2014-03-13 09:38:47,3,222,0,0,0,0,0,0,0,222,0,0,0
2014-03-13 09:38:48,6,364,0,0,0,100,0,0,0,49,0,215,0
2014-03-13 09:38:49,3,180,0,0,0,0,55,0,0,40,0,85,0
2014-03-13 09:38:51,8,601,0,0,0,0,300,0,0,100,0,201,0
2014-03-13 09:38:52,2,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:38:54,2,200,0,0,0,0,100,0,0,0,0,100,0
2014-03-13 09:38:59,10,1070,0,0,0,0,0,0,850,220,0,0,0
2014-03-13 09:39:04,1,42,0,0,0,0,0,0,0,0,0,42,0
2014-03-13 09:39:14,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:39:17,1,2,0,0,0,0,0,0,0,2,0,0,0
2014-03-13 09:39:25,10,900,0,0,0,0,300,0,0,100,0,500,0
2014-03-13 09:39:26,1,25,0,0,0,0,0,0,0,0,0,25,0
2014-03-13 09:39:27,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:30,15,1330,0,0,0,0,200,0,100,210,0,720,100
2014-03-13 09:39:32,3,500,0,0,0,0,500,0,0,0,0,0,0
