TimeInterval,TradeCount,Volume,Direct Edge A,Direct Edge X,NASDAQ OMX PSX,NASDAQ OMX,NYSE Arca SM,NASDAQ OMX BX,BATS,CBOE,BATS Y,National,NYSE
2014-03-13 09:46:09,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:46:18,2,2900,0,0,0,0,100,0,0,0,0,0,2800
2014-03-13 09:46:20,1,500,0,0,0,0,0,0,0,0,0,0,500
2014-03-13 09:46:28,3,300,100,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:46:33,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:46:44,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:46:47,1,700,0,0,0,0,0,0,0,0,700,0,0
2014-03-13 09:46:50,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:46:52,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:46:55,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:47:03,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:47:06,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:47:10,5,601,500,0,0,0,0,1,0,0,0,0,100
2014-03-13 09:47:17,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:47:19,4,400,0,0,0,0,0,200,0,0,200,0,0
2014-03-13 09:47:28,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:47:32,1,13,13,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:47:35,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:47:36,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:47:37,4,500,0,0,0,0,0,0,0,0,500,0,0
2014-03-13 09:47:38,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:47:39,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:47:43,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:47:47,2,1300,0,0,0,0,0,0,0,0,0,0,1300
2014-03-13 09:47:50,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:47:51,3,400,0,0,0,0,0,0,0,0,400,0,0
2014-03-13 09:48:01,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:48:03,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:48:04,7,986,386,0,0,100,0,400,0,0,100,0,0
2014-03-13 09:48:12,3,300,0,0,0,0,100,200,0,0,0,0,0
2014-03-13 09:48:14,6,2900,200,0,750,0,0,100,0,0,0,0,1850
2014-03-13 09:48:15,74,26230,100,4505,0,4700,5673,800,3102,0,0,0,7350
2014-03-13 09:48:16,6,900,0,0,0,0,100,100,0,0,700,0,0
2014-03-13 09:48:23,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:48:34,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:48:37,7,1300,0,0,0,0,0,0,0,0,1300,0,0
2014-03-13 09:48:45,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:48:46,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:48:53,1,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:48:56,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:49:04,1,1000,0,0,0,0,0,0,0,0,0,0,1000
2014-03-13 09:49:07,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:49:12,2,500,0,0,0,0,500,0,0,0,0,0,0
2014-03-13 09:49:16,1,500,0,0,0,0,0,0,0,0,0,0,500
2014-03-13 09:49:18,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:49:19,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:49:27,1,1300,0,0,0,0,0,0,0,0,0,0,1300
2014-03-13 09:49:28,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:49:29,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:49:31,2,500,0,0,0,0,0,0,0,0,500,0,0
2014-03-13 09:49:40,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:49:42,2,1200,0,0,0,0,0,0,0,0,0,0,1200
2014-03-13 09:49:51,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:49:57,1,1000,0,0,0,0,0,0,0,0,0,0,1000
2014-03-13 09:49:58,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:50:00,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:50:02,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:50:09,1,500,0,500,0,0,0,0,0,0,0,0,0
2014-03-13 09:50:13,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:50:24,1,31,0,0,0,0,31,0,0,0,0,0,0
2014-03-13 09:50:45,2,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:50:49,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:50:51,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:50:54,2,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:50:55,7,1500,300,0,0,0,0,300,0,0,900,0,0
2014-03-13 09:51:26,3,300,100,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:51:27,5,1200,0,0,0,0,0,400,0,0,0,0,800
2014-03-13 09:51:45,5,1400,0,0,0,0,0,1400,0,0,0,0,0
2014-03-13 09:51:47,1,400,0,0,0,0,0,0,0,0,400,0,0
2014-03-13 09:51:51,2,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:52:13,14,2000,0,0,0,0,0,1100,0,0,600,0,300
2014-03-13 09:52:14,5,1000,0,0,0,0,0,200,0,0,800,0,0
2014-03-13 09:52:19,5,1700,600,0,0,0,0,1100,0,0,0,0,0
2014-03-13 09:52:20,1,400,0,0,0,0,0,0,0,0,0,0,400
2014-03-13 09:52:21,20,7382,0,4107,750,66,61,0,731,0,0,0,1667
2014-03-13 09:52:23,1,300,0,0,0,0,0,0,300,0,0,0,0
2014-03-13 09:52:24,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:52:25,50,28545,0,649,0,6904,6742,100,2500,0,1400,0,10250
2014-03-13 09:52:27,4,1000,100,900,0,0,0,0,0,0,0,0,0
2014-03-13 09:52:28,2,200,0,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:52:58,1,800,0,0,0,0,0,0,0,0,800,0,0
2014-03-13 09:53:00,5,1500,1000,0,0,0,0,0,100,0,400,0,0
2014-03-13 09:53:02,1,700,0,0,0,0,0,0,0,0,700,0,0
2014-03-13 09:53:04,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:53:05,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:53:08,4,6,0,0,0,0,0,0,0,0,6,0,0
2014-03-13 09:53:09,1,2,0,0,0,0,0,0,0,0,2,0,0
2014-03-13 09:53:13,3,10,0,0,0,0,0,0,0,0,10,0,0
2014-03-13 09:53:15,1,1,0,0,0,0,0,0,0,0,1,0,0
2014-03-13 09:53:16,9,116,0,0,0,0,0,0,0,0,116,0,0
2014-03-13 09:53:17,2,104,0,0,0,0,0,0,0,0,104,0,0
2014-03-13 09:53:18,4,403,0,0,0,0,0,0,0,0,403,0,0
2014-03-13 09:53:20,1,1,0,0,0,0,0,0,0,0,1,0,0
2014-03-13 09:53:21,1,1,0,0,0,0,0,0,0,0,1,0,0
2014-03-13 09:53:22,2,102,0,0,0,0,0,0,0,0,102,0,0
2014-03-13 09:53:24,3,8,0,0,0,0,0,0,0,0,8,0,0
2014-03-13 09:53:35,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:53:39,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:53:40,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:53:56,5,1700,0,0,0,0,0,700,0,0,1000,0,0
2014-03-13 09:53:58,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:54:04,1,600,0,0,0,0,0,0,0,0,600,0,0
2014-03-13 09:54:08,2,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:54:34,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:54:54,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:54:57,1,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:55:09,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:55:34,1,100,0,0,0,0,100,0,0,0,0,0,0
