"","Date","TOD","Exchange","Volume","Proportion"
"229",20140303,"Close","BATS",0,0
"230",20140304,"Close","BATS",0,0
"231",20140305,"Close","BATS",0,0
"232",20140306,"Close","BATS",0,0
"233",20140307,"Close","BATS",0,0
"234",20140310,"Close","BATS",0,0
"235",20140311,"Close","BATS",0,0
"236",20140312,"Close","BATS",0,0
"237",20140313,"Close","BATS",0,0
"238",20140314,"Close","BATS",0,0
"239",20140317,"Close","BATS",0,0
"240",20140318,"Close","BATS",0,0
"241",20140319,"Close","BATS",0,0
"242",20140320,"Close","BATS",0,0
"243",20140321,"Close","BATS",0,0
"244",20140324,"Close","BATS",0,0
"245",20140325,"Close","BATS",0,0
"246",20140326,"Close","BATS",0,0
"247",20140327,"Close","BATS",0,0
"248",20140328,"Close","BATS",0,0
"249",20140331,"Close","BATS",0,0
"250",20140401,"Close","BATS",0,0
"251",20140402,"Close","BATS",0,0
"252",20140403,"Close","BATS",0,0
"253",20140404,"Close","BATS",0,0
"254",20140407,"Close","BATS",0,0
"255",20140408,"Close","BATS",0,0
"256",20140409,"Close","BATS",0,0
"257",20140410,"Close","BATS",0,0
"258",20140411,"Close","BATS",0,0
"259",20140414,"Close","BATS",0,0
"260",20140415,"Close","BATS",0,0
"261",20140416,"Close","BATS",0,0
"262",20140417,"Close","BATS",0,0
"263",20140421,"Close","BATS",0,0
"264",20140422,"Close","BATS",0,0
"265",20140423,"Close","BATS",0,0
"266",20140424,"Close","BATS",0,0
"267",20140425,"Close","BATS",0,0
"268",20140428,"Close","BATS",0,0
"269",20140429,"Close","BATS",0,0
"270",20140430,"Close","BATS",0,0
"271",20140501,"Close","BATS",0,0
"272",20140502,"Close","BATS",0,0
"273",20140505,"Close","BATS",0,0
"274",20140506,"Close","BATS",0,0
"275",20140507,"Close","BATS",0,0
"276",20140508,"Close","BATS",0,0
"277",20140509,"Close","BATS",0,0
"278",20140512,"Close","BATS",0,0
"279",20140513,"Close","BATS",0,0
"280",20140514,"Close","BATS",0,0
"281",20140515,"Close","BATS",0,0
"282",20140516,"Close","BATS",0,0
"283",20140519,"Close","BATS",0,0
"284",20140520,"Close","BATS",0,0
"285",20140521,"Close","BATS",0,0
"286",20140522,"Close","BATS",0,0
"287",20140523,"Close","BATS",0,0
"288",20140527,"Close","BATS",0,0
"289",20140528,"Close","BATS",0,0
"290",20140529,"Close","BATS",0,0
"291",20140530,"Close","BATS",0,0
"292",20140602,"Close","BATS",0,0
"293",20140603,"Close","BATS",0,0
"294",20140604,"Close","BATS",0,0
"295",20140605,"Close","BATS",0,0
"296",20140606,"Close","BATS",0,0
"297",20140609,"Close","BATS",0,0
"298",20140610,"Close","BATS",0,0
"299",20140611,"Close","BATS",0,0
"300",20140612,"Close","BATS",0,0
"301",20140613,"Close","BATS",0,0
"302",20140616,"Close","BATS",0,0
"303",20140617,"Close","BATS",0,0
"304",20140618,"Close","BATS",0,0
"305",20140619,"Close","BATS",0,0
"306",20140620,"Close","BATS",0,0
"307",20140623,"Close","BATS",0,0
"308",20140624,"Close","BATS",0,0
"309",20140625,"Close","BATS",0,0
"310",20140626,"Close","BATS",0,0
"311",20140627,"Close","BATS",0,0
"312",20140630,"Close","BATS",0,0
"313",20140701,"Close","BATS",0,0
"314",20140702,"Close","BATS",0,0
"315",20140703,"Close","BATS",0,0
"316",20140707,"Close","BATS",0,0
"317",20140708,"Close","BATS",0,0
"318",20140709,"Close","BATS",0,0
"319",20140710,"Close","BATS",0,0
"320",20140711,"Close","BATS",0,0
"321",20140714,"Close","BATS",0,0
"322",20140715,"Close","BATS",0,0
"323",20140716,"Close","BATS",0,0
"324",20140717,"Close","BATS",0,0
"325",20140718,"Close","BATS",0,0
"326",20140721,"Close","BATS",0,0
"327",20140722,"Close","BATS",0,0
"328",20140723,"Close","BATS",0,0
"329",20140724,"Close","BATS",0,0
"330",20140725,"Close","BATS",0,0
"331",20140728,"Close","BATS",0,0
"332",20140729,"Close","BATS",0,0
"333",20140730,"Close","BATS",0,0
"334",20140731,"Close","BATS",0,0
"335",20140801,"Close","BATS",0,0
"336",20140804,"Close","BATS",0,0
"337",20140805,"Close","BATS",0,0
"338",20140806,"Close","BATS",0,0
"339",20140807,"Close","BATS",0,0
"340",20140808,"Close","BATS",0,0
"341",20140811,"Close","BATS",0,0
"342",20140812,"Close","BATS",0,0
"343",20140813,"Close","BATS",0,0
"344",20140814,"Close","BATS",0,0
"345",20140815,"Close","BATS",0,0
"346",20140818,"Close","BATS",0,0
"347",20140819,"Close","BATS",0,0
"348",20140820,"Close","BATS",0,0
"349",20140821,"Close","BATS",0,0
"350",20140822,"Close","BATS",0,0
"351",20140825,"Close","BATS",0,0
"352",20140826,"Close","BATS",0,0
"353",20140827,"Close","BATS",0,0
"354",20140828,"Close","BATS",0,0
"355",20140829,"Close","BATS",0,0
"356",20140902,"Close","BATS",0,0
"357",20140903,"Close","BATS",0,0
"358",20140904,"Close","BATS",0,0
"359",20140905,"Close","BATS",0,0
"360",20140908,"Close","BATS",0,0
"361",20140909,"Close","BATS",0,0
"362",20140910,"Close","BATS",0,0
"363",20140911,"Close","BATS",0,0
"364",20140912,"Close","BATS",0,0
"365",20140915,"Close","BATS",0,0
"366",20140916,"Close","BATS",0,0
"367",20140917,"Close","BATS",0,0
"368",20140918,"Close","BATS",0,0
"369",20140919,"Close","BATS",0,0
"370",20140922,"Close","BATS",0,0
"371",20140923,"Close","BATS",0,0
"372",20140924,"Close","BATS",0,0
"373",20140925,"Close","BATS",0,0
"374",20140926,"Close","BATS",0,0
"375",20140929,"Close","BATS",0,0
"376",20140930,"Close","BATS",0,0
"377",20140102,"Open","BATS",0,0
"378",20140103,"Open","BATS",0,0
"379",20140106,"Open","BATS",0,0
"380",20140107,"Open","BATS",0,0
"381",20140108,"Open","BATS",0,0
"382",20140109,"Open","BATS",0,0
"383",20140110,"Open","BATS",0,0
"384",20140113,"Open","BATS",0,0
"385",20140114,"Open","BATS",0,0
"386",20140115,"Open","BATS",0,0
"387",20140116,"Open","BATS",0,0
"388",20140117,"Open","BATS",0,0
"389",20140121,"Open","BATS",0,0
"390",20140122,"Open","BATS",0,0
"391",20140123,"Open","BATS",0,0
"392",20140124,"Open","BATS",0,0
"393",20140127,"Open","BATS",0,0
"394",20140128,"Open","BATS",0,0
"395",20140129,"Open","BATS",0,0
"396",20140130,"Open","BATS",0,0
"397",20140131,"Open","BATS",0,0
"398",20140203,"Open","BATS",0,0
"399",20140204,"Open","BATS",0,0
"400",20140205,"Open","BATS",0,0
"401",20140206,"Open","BATS",0,0
"402",20140207,"Open","BATS",0,0
"403",20140210,"Open","BATS",0,0
"404",20140211,"Open","BATS",0,0
"405",20140212,"Open","BATS",0,0
"406",20140213,"Open","BATS",0,0
"407",20140214,"Open","BATS",0,0
"408",20140218,"Open","BATS",0,0
"409",20140219,"Open","BATS",0,0
"410",20140220,"Open","BATS",0,0
"411",20140221,"Open","BATS",0,0
"412",20140224,"Open","BATS",0,0
"413",20140225,"Open","BATS",0,0
"414",20140226,"Open","BATS",0,0
"415",20140227,"Open","BATS",0,0
"416",20140228,"Open","BATS",0,0
"417",20140303,"Open","BATS",0,0
"418",20140304,"Open","BATS",0,0
"419",20140305,"Open","BATS",0,0
"420",20140306,"Open","BATS",0,0
"421",20140307,"Open","BATS",0,0
"422",20140310,"Open","BATS",0,0
"423",20140311,"Open","BATS",0,0
"424",20140312,"Open","BATS",0,0
"425",20140313,"Open","BATS",0,0
"426",20140314,"Open","BATS",0,0
"427",20140317,"Open","BATS",0,0
"428",20140318,"Open","BATS",0,0
"429",20140319,"Open","BATS",0,0
"430",20140320,"Open","BATS",0,0
"431",20140321,"Open","BATS",0,0
"432",20140324,"Open","BATS",0,0
"433",20140325,"Open","BATS",0,0
"434",20140326,"Open","BATS",0,0
"435",20140327,"Open","BATS",0,0
"436",20140328,"Open","BATS",0,0
"437",20140331,"Open","BATS",0,0
"438",20140401,"Open","BATS",0,0
"439",20140402,"Open","BATS",0,0
"440",20140403,"Open","BATS",0,0
"441",20140404,"Open","BATS",0,0
"442",20140407,"Open","BATS",0,0
"443",20140408,"Open","BATS",0,0
"444",20140409,"Open","BATS",0,0
"445",20140410,"Open","BATS",0,0
"446",20140411,"Open","BATS",0,0
"447",20140414,"Open","BATS",0,0
"448",20140415,"Open","BATS",0,0
"449",20140416,"Open","BATS",0,0
"450",20140417,"Open","BATS",0,0
"451",20140421,"Open","BATS",0,0
"452",20140422,"Open","BATS",0,0
"453",20140423,"Open","BATS",0,0
"454",20140424,"Open","BATS",0,0
"455",20140425,"Open","BATS",0,0
"456",20140428,"Open","BATS",0,0
"457",20140429,"Open","BATS",0,0
"458",20140430,"Open","BATS",0,0
"459",20140501,"Open","BATS",0,0
"460",20140502,"Open","BATS",0,0
"461",20140505,"Open","BATS",0,0
"462",20140506,"Open","BATS",0,0
"463",20140507,"Open","BATS",0,0
"464",20140508,"Open","BATS",0,0
"465",20140509,"Open","BATS",0,0
"466",20140512,"Open","BATS",0,0
"467",20140513,"Open","BATS",0,0
"468",20140514,"Open","BATS",0,0
"469",20140515,"Open","BATS",0,0
"470",20140516,"Open","BATS",0,0
"471",20140519,"Open","BATS",0,0
"472",20140520,"Open","BATS",0,0
"473",20140521,"Open","BATS",0,0
"474",20140522,"Open","BATS",0,0
"475",20140523,"Open","BATS",0,0
"476",20140527,"Open","BATS",0,0
"477",20140528,"Open","BATS",0,0
"478",20140529,"Open","BATS",0,0
"479",20140530,"Open","BATS",0,0
"480",20140602,"Open","BATS",0,0
"481",20140603,"Open","BATS",0,0
"482",20140604,"Open","BATS",0,0
"483",20140605,"Open","BATS",0,0
"484",20140606,"Open","BATS",0,0
"485",20140609,"Open","BATS",0,0
"486",20140610,"Open","BATS",0,0
"487",20140611,"Open","BATS",0,0
"488",20140612,"Open","BATS",0,0
"489",20140613,"Open","BATS",0,0
