TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,Direct Edge A,NASDAQ OMX,Direct Edge X,NASDAQ OMX PSX,NYSE Arca SM,BATS Y,NYSE,BATS,National
2014-03-13 09:43:53,9,1200,0,100,0,100,0,0,700,100,100,100,0
2014-03-13 09:43:54,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:43:56,3,400,0,200,0,0,0,0,100,0,100,0,0
2014-03-13 09:43:58,6,500,0,0,200,200,0,0,0,100,0,0,0
2014-03-13 09:44:02,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:44:04,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:44:07,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:44:09,10,1200,0,100,0,100,0,0,700,200,100,0,0
2014-03-13 09:44:10,1,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:44:12,2,200,0,0,0,0,0,0,200,0,0,0,0
2014-03-13 09:44:13,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:44:14,4,328,0,0,0,0,0,0,328,0,0,0,0
2014-03-13 09:44:15,5,500,0,0,0,100,0,0,400,0,0,0,0
2014-03-13 09:44:17,2,300,0,200,0,0,0,0,100,0,0,0,0
2014-03-13 09:44:18,4,400,0,200,0,100,0,0,100,0,0,0,0
2014-03-13 09:44:20,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:44:25,4,400,0,100,0,100,100,0,100,0,0,0,0
2014-03-13 09:44:27,2,60,0,30,0,0,30,0,0,0,0,0,0
2014-03-13 09:44:29,2,170,0,170,0,0,0,0,0,0,0,0,0
2014-03-13 09:44:34,3,91,0,91,0,0,0,0,0,0,0,0,0
2014-03-13 09:44:35,1,20,0,0,0,20,0,0,0,0,0,0,0
2014-03-13 09:44:36,17,1189,0,200,0,286,300,0,237,0,100,66,0
2014-03-13 09:44:41,5,500,0,0,0,100,100,0,200,0,100,0,0
2014-03-13 09:44:43,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:44:44,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:44:46,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:44:50,2,200,0,0,0,0,200,0,0,0,0,0,0
2014-03-13 09:44:53,2,200,0,0,0,0,0,0,100,0,0,100,0
2014-03-13 09:44:54,7,631,0,0,30,71,455,0,55,20,0,0,0
2014-03-13 09:44:55,28,2169,0,0,70,629,545,0,545,80,0,300,0
2014-03-13 09:44:59,3,280,0,0,0,0,0,0,0,100,0,180,0
2014-03-13 09:45:01,3,300,0,0,0,0,0,0,300,0,0,0,0
2014-03-13 09:45:02,5,368,0,0,0,0,100,0,0,168,100,0,0
2014-03-13 09:45:03,13,2000,0,0,0,600,700,0,700,0,0,0,0
2014-03-13 09:45:04,3,400,0,0,0,0,0,0,0,200,200,0,0
2014-03-13 09:45:06,2,400,0,0,0,0,200,0,200,0,0,0,0
2014-03-13 09:45:07,10,1400,0,0,0,500,500,0,400,0,0,0,0
2014-03-13 09:45:08,2,101,0,0,0,100,0,0,1,0,0,0,0
2014-03-13 09:45:24,2,224,0,0,0,0,0,0,0,24,0,200,0
2014-03-13 09:45:26,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:45:27,1,40,0,40,0,0,0,0,0,0,0,0,0
2014-03-13 09:45:29,2,14,0,0,0,0,0,0,0,14,0,0,0
2014-03-13 09:45:30,5,129,0,12,0,117,0,0,0,0,0,0,0
2014-03-13 09:45:38,1,86,0,0,0,86,0,0,0,0,0,0,0
2014-03-13 09:45:44,12,465,0,0,0,324,0,0,141,0,0,0,0
2014-03-13 09:45:45,17,1840,0,400,100,340,200,0,500,0,200,100,0
2014-03-13 09:45:51,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:45:52,5,401,0,0,0,100,100,0,201,0,0,0,0
2014-03-13 09:45:54,5,700,0,0,0,500,0,0,0,100,100,0,0
2014-03-13 09:45:57,9,1211,0,100,0,214,0,0,0,797,100,0,0
2014-03-13 09:45:59,1,59,0,0,0,0,0,0,0,0,59,0,0
2014-03-13 09:46:01,2,125,0,125,0,0,0,0,0,0,0,0,0
2014-03-13 09:46:05,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:46:06,6,701,0,0,0,200,0,0,401,0,100,0,0
2014-03-13 09:46:19,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:46:21,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:46:23,2,200,0,100,0,100,0,0,0,0,0,0,0
2014-03-13 09:46:24,3,800,0,600,0,200,0,0,0,0,0,0,0
