TimeInterval,TradeCount,Volume,BATS Y,NASDAQ OMX PSX,Direct Edge X,Chicago,BATS,CBOE,Direct Edge A,NASDAQ,NYSE Arca SM,NASDAQ OMX BX,National
2014-03-13 09:43:12,9,751,312,0,0,0,0,0,200,139,0,100,0
2014-03-13 09:43:14,1,80,0,0,0,0,0,0,0,80,0,0,0
2014-03-13 09:43:18,4,400,0,0,100,0,0,0,0,200,100,0,0
2014-03-13 09:43:39,8,200,0,0,0,0,0,0,0,100,0,100,0
2014-03-13 09:43:41,4,400,0,0,0,0,200,0,0,200,0,0,0
2014-03-13 09:43:44,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:43:45,3,117,0,0,0,0,0,0,0,117,0,0,0
2014-03-13 09:43:47,3,300,0,0,0,0,0,0,0,300,0,0,0
2014-03-13 09:43:48,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:43:49,1,300,300,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:43:50,13,933,0,0,25,0,400,0,0,308,200,0,0
2014-03-13 09:43:53,1,43,0,0,0,0,0,0,0,43,0,0,0
2014-03-13 09:43:56,3,157,0,0,57,0,100,0,0,0,0,0,0
2014-03-13 09:43:57,2,190,0,0,0,0,0,0,0,0,190,0,0
2014-03-13 09:44:03,3,170,0,0,0,0,0,0,150,0,20,0,0
2014-03-13 09:44:09,4,400,0,0,0,0,0,0,0,300,100,0,0
2014-03-13 09:44:15,2,50,0,0,0,0,20,0,0,0,30,0,0
2014-03-13 09:44:16,4,151,0,0,0,0,0,0,0,151,0,0,0
2014-03-13 09:44:20,1,1,0,0,0,0,0,0,0,1,0,0,0
2014-03-13 09:44:23,5,212,0,0,0,0,0,0,0,200,12,0,0
2014-03-13 09:44:28,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:44:29,1,80,0,0,0,0,0,0,0,0,80,0,0
2014-03-13 09:44:30,3,200,0,0,0,0,0,0,0,0,200,0,0
2014-03-13 09:44:35,1,22,0,0,0,0,0,0,0,0,22,0,0
2014-03-13 09:44:53,6,230,0,0,8,0,0,0,0,100,122,0,0
2014-03-13 09:44:54,2,67,0,0,67,0,0,0,0,0,0,0,0
2014-03-13 09:45:00,3,16,0,0,0,0,0,0,0,16,0,0,0
2014-03-13 09:45:05,3,152,102,0,0,0,0,0,0,0,50,0,0
2014-03-13 09:45:13,4,260,0,0,0,0,40,0,0,50,170,0,0
2014-03-13 09:45:19,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:45:26,2,11,0,0,0,0,0,0,0,1,10,0,0
2014-03-13 09:45:29,11,25,0,0,0,0,0,0,0,20,5,0,0
2014-03-13 09:45:33,5,400,0,0,75,0,0,0,0,100,0,225,0
2014-03-13 09:45:34,7,600,0,0,0,0,0,0,100,400,100,0,0
2014-03-13 09:45:44,17,739,0,0,0,0,600,0,0,138,1,0,0
2014-03-13 09:45:47,1,7,0,0,0,0,0,0,0,7,0,0,0
2014-03-13 09:45:49,4,499,0,0,0,0,0,0,0,200,299,0,0
2014-03-13 09:45:57,8,1104,0,0,0,0,200,0,96,808,0,0,0
