TimeInterval,TradeCount,Volume,Chicago,BATS,NASDAQ OMX PSX,CBOE,BATS Y,NASDAQ OMX BX,Direct Edge A,Direct Edge X,NYSE Arca SM,NASDAQ OMX,NYSE,National
2014-03-13 09:40:25,93,54698,0,2800,0,0,10450,300,2200,11900,6433,10015,10600,0
2014-03-13 09:40:30,48,50507,0,14200,2800,0,2200,700,100,5400,4903,13904,6300,0
2014-03-13 09:40:31,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:40:36,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:40:38,18,3538,0,300,0,0,0,700,0,1100,103,902,433,0
2014-03-13 09:40:39,1,200,0,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:40:41,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:40:44,13,4900,0,0,0,0,0,1800,2000,0,0,0,1100,0
2014-03-13 09:40:46,53,48981,0,7728,0,0,1859,100,700,7200,6485,23309,1600,0
2014-03-13 09:40:48,3,5132,0,0,0,0,0,132,0,0,0,0,5000,0
2014-03-13 09:40:51,3,300,0,0,0,0,200,100,0,0,0,0,0,0
2014-03-13 09:40:56,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:40:58,48,20806,0,2107,0,0,200,1500,402,1900,416,12581,1700,0
2014-03-13 09:41:01,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:41:06,2,1570,0,0,0,0,1570,0,0,0,0,0,0,0
2014-03-13 09:41:07,1,200,0,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:41:08,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:41:11,6,2600,0,0,0,0,0,2600,0,0,0,0,0,0
2014-03-13 09:41:12,9,2100,0,700,0,0,0,0,0,0,0,700,700,0
2014-03-13 09:41:13,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:41:19,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:41:20,12,5430,0,0,0,0,5230,100,100,0,0,0,0,0
