TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX,BATS,NASDAQ OMX BX,Direct Edge X,NASDAQ OMX PSX,National,NYSE Arca SM,Direct Edge A,BATS Y,NYSE
2014-03-13 09:40:47,3,345,0,0,0,200,45,0,0,0,0,0,100
2014-03-13 09:40:49,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:40:50,2,392,0,0,0,0,0,0,0,0,0,0,392
2014-03-13 09:40:55,2,300,0,0,0,0,300,0,0,0,0,0,0
2014-03-13 09:40:56,2,108,0,0,0,0,100,0,0,0,0,0,8
2014-03-13 09:40:58,2,200,0,0,100,0,100,0,0,0,0,0,0
2014-03-13 09:41:05,1,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:41:07,2,162,0,0,0,0,0,0,0,0,100,0,62
2014-03-13 09:41:08,3,409,0,209,200,0,0,0,0,0,0,0,0
2014-03-13 09:41:09,6,600,0,600,0,0,0,0,0,0,0,0,0
2014-03-13 09:41:20,5,491,0,291,100,0,0,0,0,100,0,0,0
2014-03-13 09:41:32,2,500,0,0,300,0,0,0,0,0,0,0,200
2014-03-13 09:41:37,3,400,0,300,0,0,0,0,0,100,0,0,0
2014-03-13 09:41:39,2,179,0,0,0,0,179,0,0,0,0,0,0
2014-03-13 09:41:46,3,200,0,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:41:47,2,203,0,0,0,0,0,0,0,0,0,0,203
2014-03-13 09:41:48,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:41:51,5,800,0,0,0,0,0,0,0,800,0,0,0
2014-03-13 09:41:52,9,2900,0,400,0,100,2100,0,0,300,0,0,0
2014-03-13 09:41:53,20,10501,0,3301,0,0,3300,0,0,3900,0,0,0
2014-03-13 09:41:54,6,3550,0,200,50,0,0,3100,0,200,0,0,0
2014-03-13 09:41:55,4,400,0,0,0,0,0,0,0,100,200,0,100
2014-03-13 09:41:56,6,600,0,200,0,100,200,0,0,0,0,0,100
2014-03-13 09:41:58,24,14356,0,3998,0,0,3760,0,0,6498,0,0,100
2014-03-13 09:41:59,7,900,0,400,0,200,0,0,0,300,0,0,0
2014-03-13 09:42:01,1,2300,0,0,0,0,0,2300,0,0,0,0,0
2014-03-13 09:42:04,8,1000,0,0,0,0,200,0,0,0,600,0,200
2014-03-13 09:42:06,15,1455,0,600,100,0,0,0,0,100,555,0,100
2014-03-13 09:42:07,3,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:08,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:42:09,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:10,1,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:17,8,1026,0,100,126,0,500,0,0,100,0,0,200
2014-03-13 09:42:19,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:42:20,3,400,0,300,0,0,0,0,0,0,0,0,100
2014-03-13 09:42:25,2,400,0,0,300,0,0,0,0,100,0,0,0
2014-03-13 09:42:27,6,575,0,0,0,0,0,0,0,470,0,0,105
2014-03-13 09:42:31,3,215,0,15,100,0,0,0,0,0,100,0,0
2014-03-13 09:42:46,1,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:42:47,11,1500,0,700,500,0,0,0,0,0,0,0,300
2014-03-13 09:42:48,3,300,0,100,0,0,0,0,0,0,0,0,200
2014-03-13 09:42:57,24,4312,0,1500,400,0,250,0,0,600,0,0,1562
2014-03-13 09:43:06,6,700,0,400,0,0,0,0,0,100,0,0,200
2014-03-13 09:43:07,2,200,0,100,0,0,0,0,0,100,0,0,0
2014-03-13 09:43:15,3,290,0,0,0,0,0,0,0,0,0,200,90
2014-03-13 09:43:36,2,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:43:39,13,1786,0,300,150,0,700,0,0,300,0,0,336
2014-03-13 09:43:43,5,500,0,100,300,0,0,0,0,0,0,0,100
2014-03-13 09:43:45,1,75,0,0,0,75,0,0,0,0,0,0,0
2014-03-13 09:43:49,2,200,0,0,100,0,0,0,0,100,0,0,0
2014-03-13 09:43:50,1,75,0,0,75,0,0,0,0,0,0,0,0
2014-03-13 09:43:53,3,700,0,0,600,0,0,0,0,0,0,0,100
2014-03-13 09:44:02,1,800,0,0,0,0,0,0,0,0,0,800,0
2014-03-13 09:44:03,3,300,0,0,0,0,0,0,0,200,0,0,100
2014-03-13 09:44:14,9,1088,0,400,288,0,100,0,0,0,0,0,300
2014-03-13 09:44:20,3,312,0,100,0,0,0,0,0,0,0,212,0
2014-03-13 09:44:26,5,500,0,500,0,0,0,0,0,0,0,0,0
2014-03-13 09:44:27,10,911,0,200,108,0,0,0,0,495,0,108,0
2014-03-13 09:44:29,8,900,0,100,300,0,0,0,0,300,0,0,200
2014-03-13 09:44:30,13,1577,0,100,300,0,200,0,0,0,0,0,977
2014-03-13 09:44:31,11,1140,0,0,100,0,0,0,0,0,0,0,1040
2014-03-13 09:44:33,2,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:44:34,1,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:44:35,3,300,0,0,200,0,0,0,0,0,0,0,100
2014-03-13 09:44:36,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:44:43,3,300,0,0,0,0,0,0,0,0,100,0,200
2014-03-13 09:44:49,2,200,0,200,0,0,0,0,0,0,0,0,0
2014-03-13 09:44:55,5,700,0,100,0,0,0,0,0,200,0,0,400
2014-03-13 09:45:03,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:45:04,8,800,0,100,500,0,0,0,0,200,0,0,0
2014-03-13 09:45:06,4,400,0,100,0,0,0,0,0,0,0,200,100
2014-03-13 09:45:09,2,200,0,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:45:23,32,3313,0,550,100,100,100,0,0,203,0,0,2260
2014-03-13 09:45:24,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:45:25,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:45:27,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:45:29,5,500,0,500,0,0,0,0,0,0,0,0,0
2014-03-13 09:45:34,4,437,0,337,0,0,0,0,0,0,100,0,0
2014-03-13 09:45:35,1,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:45:44,16,2229,0,529,200,100,300,0,0,300,0,0,800
2014-03-13 09:45:45,2,300,0,100,0,0,200,0,0,0,0,0,0
2014-03-13 09:45:47,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:45:52,4,400,0,400,0,0,0,0,0,0,0,0,0
2014-03-13 09:45:54,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:45:57,4,400,0,200,0,0,0,0,0,0,0,0,200
2014-03-13 09:45:58,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:46:04,2,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:46:05,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:46:09,1,100,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:46:13,5,800,0,600,0,0,0,0,0,200,0,0,0
2014-03-13 09:46:23,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:46:24,11,819,0,5,300,0,100,0,0,300,0,0,114
2014-03-13 09:46:26,8,795,0,695,0,0,0,0,0,100,0,0,0
2014-03-13 09:46:39,7,700,0,200,100,0,0,0,0,200,100,0,100
2014-03-13 09:46:40,2,200,0,0,0,0,0,0,0,100,0,0,100
2014-03-13 09:46:42,2,111,0,111,0,0,0,0,0,0,0,0,0
2014-03-13 09:47:00,2,215,0,0,0,0,115,0,0,0,100,0,0
2014-03-13 09:47:01,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:47:11,14,1602,0,402,200,0,200,0,0,100,100,0,600
2014-03-13 09:47:13,4,400,0,100,0,0,0,0,0,200,0,0,100
2014-03-13 09:47:15,4,498,0,98,0,0,0,0,0,100,200,0,100
2014-03-13 09:47:17,8,923,0,0,500,0,200,0,0,100,0,0,123
2014-03-13 09:47:20,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:47:24,5,470,0,0,70,100,0,0,0,100,0,0,200
2014-03-13 09:47:29,1,30,0,0,30,0,0,0,0,0,0,0,0
2014-03-13 09:47:30,1,400,0,400,0,0,0,0,0,0,0,0,0
2014-03-13 09:47:31,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:47:41,3,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:47:42,2,200,0,0,100,0,0,0,0,0,100,0,0
2014-03-13 09:47:48,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:47:50,10,728,0,200,100,0,0,0,0,228,0,0,200
2014-03-13 09:47:55,3,800,0,0,0,0,300,0,0,300,0,0,200
2014-03-13 09:47:57,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:47:59,3,300,0,0,0,200,0,0,0,0,0,0,100
2014-03-13 09:48:01,1,70,0,0,70,0,0,0,0,0,0,0,0
2014-03-13 09:48:04,4,400,0,100,0,0,0,0,0,300,0,0,0
2014-03-13 09:48:10,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:48:13,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:48:15,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:48:17,11,809,0,104,102,100,200,0,0,303,0,0,0
2014-03-13 09:48:25,1,100,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:48:30,4,400,0,0,100,0,100,0,0,200,0,0,0
2014-03-13 09:48:43,4,400,0,0,400,0,0,0,0,0,0,0,0
2014-03-13 09:49:00,4,600,0,0,0,0,0,0,0,100,0,0,500
2014-03-13 09:49:09,4,400,0,200,0,0,0,0,0,0,0,0,200
2014-03-13 09:49:15,2,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:49:16,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:49:27,11,1140,0,140,300,100,400,0,0,100,0,0,100
2014-03-13 09:49:28,4,360,0,160,0,0,100,0,0,100,0,0,0
2014-03-13 09:49:34,7,815,0,0,415,0,100,0,0,100,0,0,200
2014-03-13 09:49:35,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:49:36,4,300,0,0,200,0,0,0,0,0,0,0,100
2014-03-13 09:49:37,5,438,0,100,138,0,0,0,0,0,0,0,200
2014-03-13 09:49:38,3,285,0,0,85,0,0,0,0,0,0,0,200
2014-03-13 09:49:41,2,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:49:51,15,2303,0,700,300,0,0,100,0,403,0,0,800
2014-03-13 09:49:52,3,300,0,100,0,0,0,0,0,0,0,0,200
2014-03-13 09:49:59,1,300,0,0,300,0,0,0,0,0,0,0,0
2014-03-13 09:50:00,7,900,0,200,100,0,200,0,0,100,0,0,300
2014-03-13 09:50:07,9,1285,0,200,200,0,500,0,0,0,85,0,300
2014-03-13 09:50:09,19,2339,0,236,1000,0,500,0,0,300,0,0,303
2014-03-13 09:50:11,3,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:50:12,5,483,0,0,0,0,0,0,0,0,0,0,483
2014-03-13 09:50:21,3,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:50:24,5,510,0,0,0,0,0,0,0,100,0,0,410
2014-03-13 09:50:27,1,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:50:34,2,200,0,0,0,0,100,0,0,100,0,0,0
2014-03-13 09:50:35,6,610,0,0,0,0,0,0,0,0,0,0,610
2014-03-13 09:50:36,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:50:41,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:50:42,2,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:50:54,9,1136,0,0,100,0,400,100,0,136,100,0,300
2014-03-13 09:51:00,3,400,0,400,0,0,0,0,0,0,0,0,0
2014-03-13 09:51:01,1,23,0,23,0,0,0,0,0,0,0,0,0
2014-03-13 09:51:22,15,2900,0,800,600,0,1100,0,0,100,0,0,300
2014-03-13 09:51:25,2,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:51:30,1,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:51:53,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:51:58,7,516,0,0,116,0,100,0,0,200,0,0,100
