TimeInterval,TradeCount,Volume,BATS,NYSE,NASDAQ OMX PSX,Direct Edge A,CBOE,NASDAQ OMX,NYSE Arca SM,National,BATS Y,NASDAQ OMX BX,Direct Edge X
2014-03-13 11:23:44,1,90,0,0,0,0,0,90,0,0,0,0,0
2014-03-13 11:25:15,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 11:25:35,1,1,0,0,1,0,0,0,0,0,0,0,0
2014-03-13 11:26:00,2,24,0,24,0,0,0,0,0,0,0,0,0
2014-03-13 11:26:14,2,102,0,0,0,0,0,100,2,0,0,0,0
2014-03-13 11:26:22,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 11:28:23,3,300,0,0,0,0,0,300,0,0,0,0,0
2014-03-13 11:28:24,2,60,0,1,0,0,0,59,0,0,0,0,0
2014-03-13 11:28:26,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 11:31:14,3,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 11:31:16,4,140,0,40,0,0,0,100,0,0,0,0,0
2014-03-13 11:32:49,2,11,0,0,0,0,0,11,0,0,0,0,0
2014-03-13 11:33:50,1,200,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 11:33:56,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 11:37:14,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-03-13 11:39:32,1,12,0,0,0,12,0,0,0,0,0,0,0
2014-03-13 11:40:16,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-03-13 11:41:30,1,20,0,0,20,0,0,0,0,0,0,0,0
2014-03-13 11:46:21,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 12:00:06,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 12:00:10,4,64,0,0,0,0,0,6,0,0,0,0,58
2014-03-13 12:01:03,1,5,0,0,0,0,0,5,0,0,0,0,0
2014-03-13 12:03:22,2,7,0,0,0,0,0,7,0,0,0,0,0
2014-03-13 12:05:17,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 12:05:43,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 12:05:58,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 12:06:06,3,10,0,0,0,0,0,10,0,0,0,0,0
2014-03-13 12:06:07,1,84,0,0,0,0,0,84,0,0,0,0,0
2014-03-13 12:09:57,2,4,0,2,0,0,0,0,0,0,0,0,2
2014-03-13 12:10:05,1,98,0,0,0,0,0,0,0,0,0,0,98
2014-03-13 12:10:36,1,4,0,0,0,0,0,4,0,0,0,0,0
2014-03-13 12:17:52,1,6,0,6,0,0,0,0,0,0,0,0,0
2014-03-13 12:26:30,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 12:26:35,6,217,0,0,84,0,0,133,0,0,0,0,0
2014-03-13 12:26:51,8,142,16,10,10,0,0,106,0,0,0,0,0
2014-03-13 12:30:34,1,4,0,0,0,0,0,4,0,0,0,0,0
2014-03-13 12:31:41,1,1,0,0,0,0,1,0,0,0,0,0,0
2014-03-13 12:32:21,5,20,12,0,0,0,0,8,0,0,0,0,0
2014-03-13 12:39:06,1,20,0,0,20,0,0,0,0,0,0,0,0
2014-03-13 12:39:46,1,4,0,0,0,0,0,4,0,0,0,0,0
2014-03-13 12:40:32,5,62,0,62,0,0,0,0,0,0,0,0,0
2014-03-13 12:41:53,6,69,0,69,0,0,0,0,0,0,0,0,0
2014-03-13 12:42:08,4,30,0,30,0,0,0,0,0,0,0,0,0
2014-03-13 12:42:35,1,3,3,0,0,0,0,0,0,0,0,0,0
2014-03-13 12:42:44,1,25,0,0,0,0,0,0,0,0,0,0,25
2014-03-13 12:42:53,1,26,0,0,0,0,0,26,0,0,0,0,0
2014-03-13 12:44:56,2,9,9,0,0,0,0,0,0,0,0,0,0
2014-03-13 12:45:08,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 12:45:10,6,7,0,0,0,0,0,7,0,0,0,0,0
2014-03-13 12:45:11,3,69,0,0,0,0,0,69,0,0,0,0,0
2014-03-13 12:48:34,2,3,0,1,2,0,0,0,0,0,0,0,0
2014-03-13 12:49:36,2,11,0,0,11,0,0,0,0,0,0,0,0
2014-03-13 12:51:20,1,12,0,0,12,0,0,0,0,0,0,0,0
2014-03-13 12:51:48,1,6,6,0,0,0,0,0,0,0,0,0,0
2014-03-13 12:52:47,6,44,0,3,31,0,0,10,0,0,0,0,0
2014-03-13 12:52:48,1,2,0,0,2,0,0,0,0,0,0,0,0
2014-03-13 12:56:59,1,14,0,0,0,0,0,14,0,0,0,0,0
2014-03-13 12:58:50,1,6,0,0,6,0,0,0,0,0,0,0,0
2014-03-13 12:58:57,2,108,0,0,8,0,0,100,0,0,0,0,0
2014-03-13 12:59:01,2,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 12:59:40,1,8,0,0,0,0,0,8,0,0,0,0,0
2014-03-13 12:59:54,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 12:59:56,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 13:00:02,1,89,0,0,0,0,0,0,89,0,0,0,0
2014-03-13 13:00:09,1,2,0,0,0,0,0,0,0,0,0,2,0
2014-03-13 13:00:12,1,2,0,0,0,0,0,0,0,0,0,2,0
2014-03-13 13:01:21,2,10,0,0,0,0,0,10,0,0,0,0,0
2014-03-13 13:01:31,1,2,0,0,0,0,0,2,0,0,0,0,0
2014-03-13 13:01:36,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 13:01:51,1,6,0,0,0,0,0,6,0,0,0,0,0
2014-03-13 13:02:14,5,22,0,0,0,0,0,22,0,0,0,0,0
2014-03-13 13:02:27,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 13:03:05,10,165,0,100,0,0,0,65,0,0,0,0,0
2014-03-13 13:03:13,1,14,0,0,0,0,0,14,0,0,0,0,0
2014-03-13 13:05:33,4,4,0,0,0,0,0,0,4,0,0,0,0
2014-03-13 13:05:37,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 13:05:42,1,96,0,0,0,0,0,0,96,0,0,0,0
2014-03-13 13:05:53,1,3,0,0,0,0,0,3,0,0,0,0,0
2014-03-13 13:06:16,3,43,0,25,0,0,0,18,0,0,0,0,0
2014-03-13 13:06:19,2,20,0,0,0,0,0,0,0,0,0,0,20
2014-03-13 13:11:24,13,800,0,339,0,0,0,461,0,0,0,0,0
2014-03-13 13:11:34,1,18,18,0,0,0,0,0,0,0,0,0,0
2014-03-13 13:12:30,1,20,0,0,20,0,0,0,0,0,0,0,0
2014-03-13 13:12:40,2,38,0,0,38,0,0,0,0,0,0,0,0
2014-03-13 13:16:18,2,97,0,0,97,0,0,0,0,0,0,0,0
2014-03-13 13:16:29,2,23,0,0,0,0,0,23,0,0,0,0,0
2014-03-13 13:16:30,4,27,0,0,27,0,0,0,0,0,0,0,0
2014-03-13 13:16:41,4,73,0,0,19,0,0,54,0,0,0,0,0
2014-03-13 13:16:45,1,46,0,0,0,0,0,46,0,0,0,0,0
2014-03-13 13:17:01,1,44,0,0,0,0,0,44,0,0,0,0,0
